accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1860979,Lepidoptera,Adelidae,Adela,Adela croesella,"Scopoli, 1763",Adela croesella,Adela croesella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860983,Lepidoptera,Adelidae,Adela,Adela cuprella,"Denis & Schiffermüller, 1775",Adela cuprella,Adela cuprella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860987,Lepidoptera,Adelidae,Adela,Adela reaumurella,"Linnaeus, 1758",Adela reaumurella,Adela viridella,99,SYNONYM,EXACT,SPECIES,London06October2023,0
4522891,Lepidoptera,Adelidae,Cauchas,Cauchas fibulella,"Denis & Schiffermüller, 1775",Cauchas fibulella,Cauchas fibulella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522886,Lepidoptera,Adelidae,Cauchas,Cauchas rufimitrella,"Scopoli, 1763",Cauchas rufimitrella,Cauchas rufimitrella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522904,Lepidoptera,Adelidae,Nematopogon,Nematopogon magna,"Zeller, 1878",Nematopogon magna,Nematopogon magna,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522922,Lepidoptera,Adelidae,Nematopogon,Nematopogon metaxella,"Hübner, 1813",Nematopogon metaxella,Nematopogon metaxella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522909,Lepidoptera,Adelidae,Nematopogon,Nematopogon pilella,"Denis & Schiffermüller, 1775",Nematopogon pilella,Nematopogon pilella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522908,Lepidoptera,Adelidae,Nematopogon,Nematopogon schwarziellus,"Zeller, 1839",Nematopogon schwarziellus,Nematopogon schwarziellus,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522916,Lepidoptera,Adelidae,Nematopogon,Nematopogon swammerdamella,"Linnaeus, 1758",Nematopogon swammerdamella,Nematopogon swammerdamella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860852,Lepidoptera,Adelidae,Nemophora,Nemophora cupriacella,"Hübner, 1819",Nemophora cupriacella,Nemophora cupriacella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860768,Lepidoptera,Adelidae,Nemophora,Nemophora degeerella,"Linnaeus, 1758",Nemophora degeerella,Nemophora degeerella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860765,Lepidoptera,Adelidae,Nemophora,Nemophora fasciella,"Fabricius, 1775",Nemophora fasciella,Nemophora fasciella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
7767114,Lepidoptera,Adelidae,Nemophora,Nemophora metallica,"Poda, 1761",Nemophora metallica,Nemophora metallica,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
7961640,Lepidoptera,Adelidae,Nemophora,Nemophora minimella,"Denis & Schiffermüller, 1775",Nemophora minimella,Nemophora minimella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
7851302,Lepidoptera,Adelidae,Nemophora,Nemophora ochsenheimerella,"Hübner, 1813",Nemophora ochsenheimerella,Nemophora ochsenheimerella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1992504,Lepidoptera,Alucitidae,Alucita,Alucita hexadactyla,"Linnaeus, 1758",Alucita hexadactyla,Alucita hexadactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830207,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia abdominalis,"Zeller, 1839",Argyresthia abdominalis,Argyresthia abdominalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830131,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia albistria,"Haworth, 1828",Argyresthia albistria,Argyresthia albistria,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830186,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia arceuthina,"Zeller, 1839",Argyresthia arceuthina,Argyresthia arceuthina,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830282,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia aurulentella,"Stainton, 1849",Argyresthia aurulentella,Argyresthia aurulentella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4525487,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia bonnetella,"Linnaeus, 1758",Argyresthia bonnetella,Argyresthia bonnetella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830152,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia brockeella,"Hübner, 1813",Argyresthia brockeella,Argyresthia brockeella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830241,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia conjugella,"Zeller, 1839",Argyresthia conjugella,Argyresthia conjugella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830221,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia cupressella,"Walsingham, 1890",Argyresthia cupressella,Argyresthia cupressella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830147,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia curvella,"Linnaeus, 1761",Argyresthia curvella,Argyresthia curvella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830144,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia dilectella,"Zeller, 1847",Argyresthia dilectella,Argyresthia dilectella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830183,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia glabratella,"Zeller, 1847",Argyresthia glabratella,Argyresthia glabratella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830153,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia glaucinella,"Zeller, 1839",Argyresthia glaucinella,Argyresthia glaucinella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830125,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia goedartella,"Linnaeus, 1758",Argyresthia goedartella,Argyresthia goedartella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830135,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia illuminatella,"Zeller, 1839",Argyresthia illuminatella,Argyresthia illuminatella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830143,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia ivella,"Haworth, 1828",Argyresthia ivella,Argyresthia ivella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830209,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia laevigatella,"Herrich-Schäffer, 1855",Argyresthia laevigatella,Argyresthia laevigatella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830181,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia praecocella,"Zeller, 1839",Argyresthia praecocella,Argyresthia praecocella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830191,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia pruniella,"Clerck, 1759",Argyresthia pruniella,Argyresthia pruniella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830243,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia pygmaeella,"Denis & Schiffermüller, 1775",Argyresthia pygmaeella,Argyresthia pygmaeella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830122,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia retinella,"Zeller, 1839",Argyresthia retinella,Argyresthia retinella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830206,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia semifusca,"Haworth, 1828",Argyresthia semifusca,Argyresthia semifusca,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830145,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia semitestacella,"Curtis, 1833",Argyresthia semitestacella,Argyresthia semitestacella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830262,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia sorbiella,"Treitschke, 1833",Argyresthia sorbiella,Argyresthia sorbiella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4525476,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia spinosella,"Stainton, 1849",Argyresthia spinosella,Argyresthia spinosella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830271,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia trifasciata,"Staudinger, 1871",Argyresthia trifasciata,Argyresthia trifasciata,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1845965,Lepidoptera,Autostichidae,Oegoconia,Oegoconia caradjai,"Popescu-Gorj & Căpuşe, 1965",Oegoconia caradjai,Oegoconia caradjai,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1845962,Lepidoptera,Autostichidae,Oegoconia,Oegoconia deauratella,"Herrich-Schäffer, 1854",Oegoconia deauratella,Oegoconia quadripuncta,99,SYNONYM,EXACT,SPECIES,London06October2023,0
1845866,Lepidoptera,Autostichidae,Symmoca,Symmoca signatella,"Herrich-Schäffer, 1854",Symmoca signatella,Symmoca signatella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
11897068,Lepidoptera,Batrachedridae,Batrachedra,Batrachedra confusella,"Berggren et al, 2022",Batrachedra confusella,Batrachedra confusella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852926,Lepidoptera,Batrachedridae,Batrachedra,Batrachedra parvulipunctella,"Chrétien, 1915",Batrachedra parvulipunctella,Batrachedra parvulipunctella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852978,Lepidoptera,Batrachedridae,Batrachedra,Batrachedra pinicolella,"Zeller, 1839",Batrachedra pinicolella,Batrachedra pinicolella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852956,Lepidoptera,Batrachedridae,Batrachedra,Batrachedra praeangusta,"Haworth, 1828",Batrachedra praeangusta,Batrachedra praeangusta,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1831752,Lepidoptera,Bedelliidae,Bedellia,Bedellia somnulentella,"Zeller, 1847",Bedellia somnulentella,Bedellia somnulentella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852690,Lepidoptera,Blastobasidae,Auximobasis,Auximobasis normalis,"Meyrick, 1918",Auximobasis normalis,Auximobasis normalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852831,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis adustella,"Walsingham, 1894",Blastobasis adustella,Blastobasis adustella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852787,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis lacticolella,"Rebel, 1940",Blastobasis lacticolella,Blastobasis lacticolella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852871,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis maroccanella,"Amsel, 1952",Blastobasis maroccanella,Blastobasis maroccanella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852751,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis phycidella,"Zeller, 1839",Blastobasis phycidella,Blastobasis phycidella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4529658,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis rebeli,"Karsholt & Sinev, 2004",Blastobasis rebeli,Blastobasis rebeli,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1852872,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis vittata,"Wollaston, 1858",Blastobasis vittata,Blastobasis vittata,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4529646,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis wolffi,"Karsholt & Sinev, 2004",Blastobasis wolffi,Blastobasis wolffi,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4529630,Lepidoptera,Blastobasidae,Hypatopa,Hypatopa binotella,"Thunberg, 1794",Hypatopa binotella,Hypatopa binotella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751268,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix albedinella,"Zeller, 1839",Bucculatrix albedinella,Bucculatrix albedinella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751265,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix artemisiella,"Herrich-Schäffer, 1855",Bucculatrix artemisiella,Bucculatrix artemisiella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4535884,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix bechsteinella,"Bechstein & Scharfenberg, 1805",Bucculatrix bechsteinella,Bucculatrix bechsteinella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4535888,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix chrysanthemella,"Rebel, 1896",Bucculatrix chrysanthemella,Bucculatrix chrysanthemella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751236,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix cidarella,"Zeller, 1839",Bucculatrix cidarella,Bucculatrix cidarella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751353,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix cristatella,"Zeller, 1839",Bucculatrix cristatella,Bucculatrix cristatella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751290,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix demaryella,"Duponchel, 1840",Bucculatrix demaryella,Bucculatrix demaryella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4535904,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix frangutella,"Goeze, 1783",Bucculatrix frangutella,Bucculatrix frangutella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751284,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix humiliella,"Herrich-Schäffer, 1855",Bucculatrix humiliella,Bucculatrix humiliella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751427,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix maritima,"Stainton, 1851",Bucculatrix maritima,Bucculatrix maritima,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751298,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix nigricomella,"Zeller, 1839",Bucculatrix nigricomella,Bucculatrix nigricomella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751457,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix thoracella,"Thunberg, 1794",Bucculatrix thoracella,Bucculatrix thoracella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751368,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix ulmella,"Zeller, 1848",Bucculatrix ulmella,Bucculatrix ulmella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1751337,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix ulmifoliae,"Hering, 1931",Bucculatrix ulmifoliae,Bucculatrix ulmifoliae,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1941864,Lepidoptera,Castniidae,Paysandisia,Paysandisia archon,"Burmeister, 1880",Paysandisia archon,Paysandisia archon,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5880147,Lepidoptera,Lypusidae,Dasystoma,Dasystoma salicella,"Hübner, 1796",Dasystoma salicella,Dasystoma salicella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1841296,Lepidoptera,Lypusidae,Diurnea,Diurnea fagella,"Denis & Schiffermüller, 1775",Diurnea fagella,Diurnea fagella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4528593,Lepidoptera,Lypusidae,Diurnea,Diurnea lipsiella,"Denis & Schiffermüller, 1775",Diurnea lipsiella,Diurnea lipsiella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
5123461,Lepidoptera,Choreutidae,Anthophila,Anthophila fabriciana,"Linnaeus, 1767",Anthophila fabriciana,Anthophila fabriciana,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5123394,Lepidoptera,Choreutidae,Choreutis,Choreutis diana,"Hübner, 1822",Choreutis diana,Choreutis diana,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5123474,Lepidoptera,Choreutidae,Anthophila,Choreutis nemorana,"Hübner, 1799",Choreutis nemorana,Anthophila nemorana,99,SYNONYM,EXACT,SPECIES,London06October2023,0
5769164,Lepidoptera,Choreutidae,Choreutis,Choreutis pariana,"Clerck, 1759",Choreutis pariana,Choreutis pariana,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860408,Lepidoptera,Choreutidae,Prochoreutis,Prochoreutis myllerana,"Fabricius, 1794",Prochoreutis myllerana,Prochoreutis myllerana,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4525177,Lepidoptera,Choreutidae,Prochoreutis,Prochoreutis sehestediana,"Fabricius, 1777",Prochoreutis sehestediana,Prochoreutis sehestediana,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5123337,Lepidoptera,Choreutidae,Tebenna,Tebenna bjerkandrella,"Thunberg, 1784",Tebenna bjerkandrella,Tebenna bjerkandrella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5123339,Lepidoptera,Choreutidae,Tebenna,Tebenna micalis,"Mann, 1857",Tebenna micalis,Tebenna micalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120455,Lepidoptera,Coleophoridae,Augasma,Augasma aeratella,"Zeller, 1839",Augasma aeratella,Augasma aeratella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121702,Lepidoptera,Coleophoridae,Coleophora,Coleophora adjectella,"Herrich-Schäffer, 1861",Coleophora adjectella,Coleophora adjectella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121672,Lepidoptera,Coleophoridae,Coleophora,Coleophora adjunctella,"Hodgkinson, 1882",Coleophora adjunctella,Coleophora adjunctella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121622,Lepidoptera,Coleophoridae,Coleophora,Coleophora adspersella,"Benander, 1939",Coleophora adspersella,Coleophora adspersella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121449,Lepidoptera,Coleophoridae,Coleophora,Coleophora aestuariella,"Bradley, 1984",Coleophora aestuariella,Coleophora aestuariella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121284,Lepidoptera,Coleophoridae,Coleophora,Coleophora ahenella,"Heinemann, 1876",Coleophora ahenella,Coleophora ahenella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1832853,Lepidoptera,Elachistidae,Elachista,Coleophora albella,"Thunberg, 1788",Coleophora albella,Elachista argentella,99,SYNONYM,EXACT,SPECIES,London06October2023,0
5121591,Lepidoptera,Coleophoridae,Coleophora,Coleophora albicans,"Zeller, 1849","Coleophora albicans Zeller, 1849",Coleophora granulatella,100,SYNONYM,EXACT,SPECIES,London06October2023,0
5121097,Lepidoptera,Coleophoridae,Coleophora,Coleophora albicosta,"Haworth, 1828",Coleophora albicosta,Coleophora albicosta,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121032,Lepidoptera,Coleophoridae,Coleophora,Coleophora albidella,"Denis & Schiffermüller, 1775",Coleophora albidella,Coleophora albidella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120916,Lepidoptera,Coleophoridae,Coleophora,Coleophora albitarsella,"Zeller, 1849",Coleophora albitarsella,Coleophora albitarsella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121177,Lepidoptera,Coleophoridae,Coleophora,Coleophora alcyonipennella,"Kollar, 1832",Coleophora alcyonipennella,Coleophora alcyonipennella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120751,Lepidoptera,Coleophoridae,Coleophora,Coleophora alnifoliae,"Barasch, 1934",Coleophora alnifoliae,Coleophora alnifoliae,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120668,Lepidoptera,Coleophoridae,Coleophora,Coleophora alticolella,"Zeller, 1849",Coleophora alticolella,Coleophora alticolella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120899,Lepidoptera,Coleophoridae,Coleophora,Coleophora amethystinella,"Ragonot, 1885",Coleophora amethystinella,Coleophora fuscicornis,99,SYNONYM,EXACT,SPECIES,London06October2023,0
6097240,Lepidoptera,Coleophoridae,Coleophora,Coleophora anatipennella,"Hübner, 1796",Coleophora anatipennella,Coleophora anatipennella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121627,Lepidoptera,Coleophoridae,Coleophora,Coleophora antennariella,"Herrich-Schäffer, 1861",Coleophora antennariella,Coleophora antennariella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121469,Lepidoptera,Coleophoridae,Coleophora,Coleophora arctostaphyli,"Meder, 1933",Coleophora arctostaphyli,Coleophora arctostaphyli,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121287,Lepidoptera,Coleophoridae,Coleophora,Coleophora argentula,"Stephens, 1834",Coleophora argentula,Coleophora argentula,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121212,Lepidoptera,Coleophoridae,Coleophora,Coleophora artemisicolella,"Bruand, 1855",Coleophora artemisicolella,Coleophora artemisicolella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121109,Lepidoptera,Coleophoridae,Coleophora,Coleophora asteris,"Mühlig, 1864",Coleophora asteris,Coleophora asteris,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120880,Lepidoptera,Coleophoridae,Coleophora,Coleophora atriplicis,"Meyrick, 1928",Coleophora atriplicis,Coleophora atriplicis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120592,Lepidoptera,Coleophoridae,Coleophora,Coleophora badiipennella,"Duponchel, 1843",Coleophora badiipennella,Coleophora badiipennella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121711,Lepidoptera,Coleophoridae,Coleophora,Coleophora betulella,"Heinemann, 1876",Coleophora betulella,Coleophora betulella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121432,Lepidoptera,Coleophoridae,Coleophora,Coleophora binderella,"Kollar, 1832",Coleophora binderella,Coleophora binderella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120990,Lepidoptera,Coleophoridae,Coleophora,Coleophora caespititiella,"Zeller, 1839",Coleophora caespititiella,Coleophora caespititiella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120885,Lepidoptera,Coleophoridae,Coleophora,Coleophora calycotomella,"Stainton, 1869",Coleophora calycotomella,Coleophora calycotomella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121647,Lepidoptera,Coleophoridae,Coleophora,Coleophora chalcogrammella,"Zeller, 1839",Coleophora chalcogrammella,Coleophora chalcogrammella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121271,Lepidoptera,Coleophoridae,Coleophora,Coleophora clypeiferella,"Hofmann, 1871",Coleophora clypeiferella,Coleophora clypeiferella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121021,Lepidoptera,Coleophoridae,Coleophora,Coleophora conspicuella,"Zeller, 1849",Coleophora conspicuella,Coleophora conspicuella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120955,Lepidoptera,Coleophoridae,Coleophora,Coleophora conyzae,"Zeller, 1868",Coleophora conyzae,Coleophora conyzae,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120915,Lepidoptera,Coleophoridae,Coleophora,Coleophora coracipennella,"Hübner, 1796",Coleophora coracipennella,Coleophora coracipennella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121786,Lepidoptera,Coleophoridae,Coleophora,Coleophora currucipennella,"Zeller, 1839",Coleophora currucipennella,Coleophora currucipennella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121613,Lepidoptera,Coleophoridae,Coleophora,Coleophora deauratella,"Lienig & Zeller, 1846",Coleophora deauratella,Coleophora deauratella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121347,Lepidoptera,Coleophoridae,Coleophora,Coleophora deviella,"Zeller, 1847",Coleophora deviella,Coleophora deviella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121046,Lepidoptera,Coleophoridae,Coleophora,Coleophora discordella,"Zeller, 1849",Coleophora discordella,Coleophora discordella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121339,Lepidoptera,Coleophoridae,Coleophora,Coleophora flavipennella,"Duponchel, 1843",Coleophora flavipennella,Coleophora flavipennella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
6097246,Lepidoptera,Coleophoridae,Coleophora,Coleophora follicularis,"Vallot, 1802",Coleophora follicularis,Coleophora follicularis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121201,Lepidoptera,Coleophoridae,Coleophora,Coleophora frischella,"Linnaeus, 1758",Coleophora frischella,Coleophora frischella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120798,Lepidoptera,Coleophoridae,Coleophora,Coleophora fuscocuprella,"Herrich-Schäffer, 1855",Coleophora fuscocuprella,Coleophora fuscocuprella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120746,Lepidoptera,Coleophoridae,Coleophora,Coleophora galbulipennella,"Zeller, 1838",Coleophora galbulipennella,Coleophora galbulipennella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120579,Lepidoptera,Coleophoridae,Coleophora,Coleophora gardesanella,"Toll, 1953",Coleophora gardesanella,Coleophora gardesanella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121795,Lepidoptera,Coleophoridae,Coleophora,Coleophora genistae,"Stainton, 1857",Coleophora genistae,Coleophora genistae,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121686,Lepidoptera,Coleophoridae,Coleophora,Coleophora glaucicolella,"Wood, 1892",Coleophora glaucicolella,Coleophora glaucicolella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121634,Lepidoptera,Coleophoridae,Coleophora,Coleophora glitzella,"Hofmann, 1869",Coleophora glitzella,Coleophora glitzella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121476,Lepidoptera,Coleophoridae,Coleophora,Coleophora gryphipennella,"Hübner, 1796",Coleophora gryphipennella,Coleophora gryphipennella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121105,Lepidoptera,Coleophoridae,Coleophora,Coleophora hemerobiella,"Scopoli, 1763",Coleophora hemerobiella,Coleophora hemerobiella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120762,Lepidoptera,Coleophoridae,Coleophora,Coleophora hydrolapathella,"Hering, 1921",Coleophora hydrolapathella,Coleophora hydrolapathella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120696,Lepidoptera,Coleophoridae,Coleophora,Coleophora ibipennella,"Zeller, 1849",Coleophora ibipennella,Coleophora ibipennella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120585,Lepidoptera,Coleophoridae,Coleophora,Coleophora idaeella,"Hofmann, 1869",Coleophora idaeella,Coleophora idaeella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121481,Lepidoptera,Coleophoridae,Coleophora,Coleophora inulae,"Wocke, 1876",Coleophora inulae,Coleophora inulae,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5121183,Lepidoptera,Coleophoridae,Coleophora,Coleophora juncicolella,"Stainton, 1851",Coleophora juncicolella,Coleophora juncicolella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
6097245,Lepidoptera,Coleophoridae,Coleophora,Coleophora kuehnella,"Goeze, 1783",Coleophora kuehnella,Coleophora kuehnella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5120767,Lepidoptera,Coleophoridae,Coleophora,Coleophora laricella,"Hübner, 1817",Coleophora laricella,Coleophora laricella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
